date,market_cap
1612134000,249673112.33944586
1612137600,250740803.96129963
1612141200,249406328.0417057
1612144800,253830673.6571958
1612148400,250626265.19208315
1612152000,248904449.41027287
1612155600,252197130.1806192
1612159200,251578965.34336448
1612162800,249751754.36197683
1612166400,249805875.0281724
1612170000,256529318.5526107
1612173600,255021877.97838616
1612177200,255364103.91459268
1612180800,252575328.91962162
1612184400,252879834.083699
1612188000,249042832.17066023
1612191600,246550422.02730408
1612195200,247097424.01991248
1612198800,246799574.69891912
1612202400,247638087.24598187
1612206000,246463414.8989798
1612209600,247992355.59213144
1612213200,249405081.36453578
1612216800,249539186.16154116
1612220400,248781774.23104346
1612224000,250055305.5195257
1612227600,249601054.0321001
1612231200,250422339.0052769
1612234800,252572743.28577787
1612238400,252907329.07726014
1612242000,252891202.5253947
1612245600,252597479.19533074
1612249200,254096433.01458547
1612252800,255137131.78577307
1612256400,253789426.9551566
1612260000,255256047.28046665
1612263600,256183348.0342199
1612267200,255551709.22926816
1612270800,255775920.01600072
1612274400,257567578.31922403
1612278000,262850973.80727983
1612281600,260543422.87738976
1612285200,262350627.8080591
1612288800,263295440.80099598
1612292400,266447354.82717073
1612296000,267043845.71506688
1612299600,271607159.9260211
1612303200,283921021.6073664
1612306800,272463624.5601565
1612310400,283796643.2884964
1612314000,288836673.8889027
1612317600,288801562.47782093
1612321200,291967378.71769387
1612324800,287634599.1475613
1612328400,281232863.3305469
1612332000,282532991.23056644
1612335600,279976791.6265702
1612339200,280942619.30396485
1612342800,276337748.4537287
1612346400,275326928.0296151
1612350000,279631376.8154269
1612353600,275559831.8208862
1612357200,281255050.8643179
1612360800,287210116.0515274
1612364400,284663879.49312395
1612368000,319954377.69789994
1612371600,300783461.73867023
1612375200,307924881.4460977
1612378800,313165947.18760836
1612382400,309610771.578669
1612386000,301410511.6560512
1612389600,301937349.738842
1612393200,300141666.8443833
1612396800,299008078.36486614
1612400400,299677120.84353757
1612404000,298107712.32266426
1612407600,295978140.39489126
1612411200,294364546.50438136
1612414800,297006970.2728705
1612418400,295879697.7547038
1612422000,297597226.5451978
1612425600,295069293.6613346
1612429200,291118583.8289224
1612432800,288060324.37044793
1612436400,287096801.6860752
1612440000,289302382.0492699
1612443600,289640161.10049975
1612447200,290604950.5402486
1612450800,287448413.65955245
1612454400,287630137.7515593
1612458000,289122145.7773413
1612461600,287179873.74291646
1612465200,288814545.0270125
1612468800,290921029.21563804
1612472400,290831683.9602354
1612476000,292522716.5214742
1612479600,288862525.27122015
1612483200,285162491.8873644
1612486800,286980190.83396316
1612490400,286966252.0298119
1612494000,288733191.84522575
1612497600,289919511.908467
1612501200,293751638.30829126
1612504800,292532894.75788075
1612508400,296892586.0639401
1612512000,295546557.21658695
1612515600,300982599.0347017
1612519200,300777148.5053975
1612522800,303008168.16787225
1612526400,303844933.1193403
1612530000,304305654.43823576
1612533600,302848206.87237316
1612537200,299826584.6809955
1612540800,299143765.16341597
1612544400,303838613.9287371
1612548000,303848277.6635175
1612551600,311455727.72832084
1612555200,307821864.89894044
1612558800,309064527.2688676
1612562400,310150752.6451259
1612566000,315841549.54763997
1612569600,313425889.9375221
1612573200,311857614.7500555
1612576800,298254423.043766
1612580400,302707393.8076028
1612584000,301564978.95240986
1612587600,299137502.3137406
1612591200,300407068.65809035
1612594800,304268545.77420187
1612598400,306114494.083501
1612602000,306134309.419507
1612605600,302918125.9650465
1612609200,300931005.5218858
1612612800,297945316.00284386
1612616400,301257241.7532914
1612620000,298111628.96646523
1612623600,302869731.4066048
1612627200,303329034.67949057
1612630800,306512860.85800445
1612634400,309550179.57041997
1612638000,307416841.924498
1612641600,306771266.97598535
1612645200,303988050.21943486
1612648800,306252240.91394913
1612652400,307969384.20673627
1612656000,304519580.8199919
1612659600,304504518.9148693
1612663200,299511995.8945095
1612666800,301060459.5350002
1612670400,299436302.9514412
1612674000,308129800.9395047
1612677600,307226111.0434894
1612681200,315273877.9634779
1612684800,315825430.5895564
1612688400,319378894.7901062
1612692000,324560915.65727234
1612695600,334622729.03252065
1612699200,329914497.25717986
1612702800,336955544.48820466
1612706400,325929963.9794949
1612710000,327862389.4141288
1612713600,316764121.23067266
1612717200,313661957.77987534
1612720800,315575073.99579155
1612724400,318285870.63056296
1612728000,321103240.8248285
1612731600,326525902.75008357
1612735200,325401387.3393927
1612738800,321839736.63509315
1612742400,327494869.11058545
1612746000,342356285.85709864
1612749600,337316803.7021584
1612753200,332005008.96957254
1612756800,335903728.96404874
1612760400,336308217.8561471
1612764000,337492679.785501
1612767600,342049573.85293156
1612771200,346063363.69000924
1612774800,349988611.5098847
1612778400,352555951.3888509
1612782000,353607630.4811745
1612785600,357132653.20183074
1612789200,349075042.7659694
1612792800,353456496.6411601
1612796400,350824569.29660976
1612800000,365427210.53454685
1612803600,445135958.6308495
1612807200,456435960.7721627
1612810800,725672414.7179284
1612814400,678299479.0246364
1612818000,677613043.1640278
1612821600,737145993.072622
1612825200,660852207.0402417
1612828800,689009955.9233712
1612832400,847815917.8412445
1612836000,830774299.6894906
1612839600,824738284.760115
1612843200,841042587.6202029
1612846800,833793775.4699587
1612850400,903914869.0517346
1612854000,984146977.8123318
1612857600,1248267441.2914822
1612861200,1069977133.0967835
1612864800,978885994.880867
1612868400,876234280.0666256
1612872000,917268332.7857441
1612875600,874048940.5038801
1612879200,874451847.2938676
1612882800,848050940.8061029
1612886400,845968038.5638905
1612890000,740068296.6674011
1612893600,839553365.0043077
1612897200,785430317.9725955
1612900800,787716563.3650826
1612904400,851932092.2259673
1612908000,835860307.9332409
1612911600,812038246.8446537
1612915200,786388119.1670686
1612918800,757560152.4488555
1612922400,733227305.4286313
1612926000,751160933.88514
1612929600,747588798.8310566
1612933200,802062533.2934778
1612936800,809813230.561404
1612940400,799819113.8681548
1612944000,810516757.412312
1612947600,777257216.5377246
1612951200,778350777.385487
1612954800,787507488.7977508
1612958400,766931510.2911184
1612962000,728718055.1833504
1612965600,747521729.7863393
1612969200,742067470.1549144
1612972800,688794964.0566484
1612976400,714783443.6687433
1612980000,732152776.67229
1612983600,728533847.0982356
1612987200,720435741.7022305
1612990800,700179335.5100967
1612994400,714441224.2025305
1612998000,719029799.1230134
1613001600,735580688.8582911
1613005200,721368572.400633
1613008800,719667447.841887
1613012400,746176157.1807085
1613016000,747440202.6198969
1613019600,741208781.2335452
1613023200,734098967.9764106
1613026800,727520156.3936585
1613030400,736204251.9643569
1613034000,727048961.5168568
1613037600,746821138.5624763
1613041200,759725616.7897179
1613044800,748396047.1744201
1613048400,767736759.95859
1613052000,774208246.9479518
1613055600,769475080.0270839
1613059200,774846800.6502947
1613062800,764174525.7690434
1613066400,753851882.8492616
1613070000,762168857.2896855
1613073600,762142573.7871863
1613077200,772788610.4655931
1613080800,767206523.1642607
1613084400,772180742.1567649
1613088000,783771235.5313742
1613091600,919690453.1955075
1613095200,845740032.6597452
1613098800,821191780.689299
1613102400,840586780.822652
1613106000,810840018.2388625
1613109600,809936909.224198
1613113200,808483415.7892344
1613116800,794525773.5648786
1613120400,798200814.0320729
1613124000,815944113.8128072
1613127600,819623377.4768898
1613131200,815969510.1186187
1613134800,819860792.466063
1613138400,827272348.3091972
1613142000,792642724.0785347
1613145600,809959485.531422
1613149200,811052298.873376
1613152800,836490961.7212385
1613156400,828095890.991501
1613160000,817484863.4697194
1613163600,811676820.277475
1613167200,822044620.0986181
1613170800,829508028.6701366
1613174400,826430212.121822
1613178000,827128979.0271758
1613181600,847494880.2404374
1613185200,834839379.4331638
1613188800,840228272.2630185
1613192400,835305249.751025
1613196000,843162429.8544592
1613199600,835211433.9369125
1613203200,813268409.2734542
1613206800,823442134.1456666
1613210400,824416750.6791127
1613214000,804828330.1890713
1613217600,769704473.6368866
1613221200,788145262.3506198
1613224800,798749941.027107
1613228400,800866309.3500979
1613232000,806893833.4159948
1613235600,813321784.1443702
1613239200,801372551.4333264
1613242800,800136545.2624742
1613246400,796196767.8167655
1613250000,795860999.2568399
1613253600,796153311.8406883
1613257200,799487384.5433556
1613260800,814603905.7131464
1613264400,795167341.7682173
1613268000,796399191.1384206
1613271600,799116447.8152351
1613275200,792889094.8622831
1613278800,791351346.5695689
1613282400,780214619.6273948
1613286000,789097383.0149443
1613289600,786560431.5356772
1613293200,792009352.8079828
1613296800,787229309.6466054
1613300400,780855663.167325
1613304000,784209221.303643
1613307600,782352437.1355577
1613311200,769075006.7242762
1613314800,738400564.774507
1613318400,738485976.8745189
1613322000,769413151.7935407
1613325600,745566858.3654832
1613329200,740497604.499243
1613332800,741503833.1848305
1613336400,744539743.7394325
1613340000,767289206.2993528
1613343600,759583474.097834
1613347200,752751265.3920145
1613350800,754854561.894298
1613354400,727675483.5941671
1613358000,679448526.3128618
1613361600,679220398.1560081
1613365200,641644123.2647789
1613368800,655234264.4179411
1613372400,706216128.3563883
1613376000,712646164.3422012
1613379600,717764101.1763906
1613383200,705959388.6431859
1613386800,705980131.8950816
1613390400,713394175.0481491
1613394000,739998507.504922
1613397600,732782575.1723813
1613401200,734613143.3906846
1613404800,765037580.9950914
1613408400,771646419.0864311
1613412000,764129146.157784
1613415600,770035164.3158414
1613419200,767780862.0855129
1613422800,762357679.7785549
1613426400,748135722.3813162
1613430000,738848804.680666
1613433600,730072462.6094618
1613437200,756122538.9491751
1613440800,766389284.9900964
1613444400,780077327.5471692
1613448000,809062789.1164694
1613451600,810652585.822808
1613455200,817840432.5631595
1613458800,793153078.9596705
1613462400,800694276.470244
1613466000,792870193.1430863
