date,market_cap
1612134000,16641076.653168986
1612137600,16929184.101684935
1612141200,17203232.154846113
1612144800,17626881.156780194
1612148400,17765430.273757238
1612152000,16926601.18318611
1612155600,16802855.758350994
1612159200,17439707.215785906
1612162800,16928352.47452185
1612166400,16942777.043256544
1612170000,17143958.568986222
1612173600,17003071.668968726
1612177200,15072204.68353486
1612180800,14985793.694610834
1612184400,14702941.580369951
1612188000,14639406.004527716
1612191600,15128414.93958103
1612195200,14971972.941298228
1612198800,14934996.5235978
1612202400,13825687.81304859
1612206000,14549045.483702792
1612209600,14881588.146332921
1612213200,15117876.14584285
1612216800,14948008.291652735
1612220400,15003620.486209996
1612224000,14958308.700180018
1612227600,15210825.636213904
1612231200,15272932.830706399
1612234800,15606892.379172388
1612238400,15602456.478524582
1612242000,16003147.166425178
1612245600,16251087.115861956
1612249200,16062166.363421485
1612252800,15547420.703937594
1612256400,15469304.769994613
1612260000,15689573.844614284
1612263600,15483949.18295941
1612267200,15483521.062063029
1612270800,16920448.253491487
1612274400,16782962.25669956
1612278000,16422208.452463534
1612281600,16544888.28055661
1612285200,17180871.805224303
1612288800,16503945.991634566
1612292400,16327957.002762934
1612296000,17067911.319687802
1612299600,16675492.119093947
1612303200,17378748.695682466
1612306800,17324397.380320296
1612310400,17127673.20012637
1612314000,17025701.94068369
1612317600,17238816.39001056
1612321200,17453054.828918323
1612324800,18125601.241952706
1612328400,17651093.107234377
1612332000,17779635.466270078
1612335600,18123893.27312739
1612339200,17235241.509900477
1612342800,16526667.356261572
1612346400,16229376.957848728
1612350000,16268246.51464906
1612353600,15498881.320066027
1612357200,16225246.026997143
1612360800,16376636.218189092
1612364400,16150916.855018098
1612368000,17225173.702024758
1612371600,17614426.869493492
1612375200,17819688.901717614
1612378800,17190409.74927462
1612382400,17162743.859457258
1612386000,16973441.689132944
1612389600,29769277.85529439
1612393200,25615954.65977269
1612396800,23103951.778088987
1612400400,25369755.013368502
1612404000,24899306.11045022
1612407600,24721202.06208676
1612411200,25551301.04427091
1612414800,24831831.25639464
1612418400,26201733.245064057
1612422000,27981363.544938996
1612425600,28278071.710783236
1612429200,30259800.86319268
1612432800,27067127.942862045
1612436400,27701644.91610432
1612440000,26813322.575818747
1612443600,27112032.150739238
1612447200,27510802.610039037
1612450800,28425442.477894302
1612454400,27132467.141318236
1612458000,29575524.196960863
1612461600,33343410.894676127
1612465200,35195795.63273804
1612468800,32835325.122181494
1612472400,34519384.73153626
1612476000,35886430.75424075
1612479600,34061226.241735995
1612483200,33240306.617199138
1612486800,35558417.268179476
1612490400,34945490.79946586
1612494000,34471541.56707797
1612497600,36738098.96696809
1612501200,39894114.0352534
1612504800,40767771.309611835
1612508400,47662909.34732277
1612512000,44111672.45123216
1612515600,43259294.49632146
1612519200,45060432.08228799
1612522800,49064961.99819519
1612526400,48814917.0707285
1612530000,51800211.20188765
1612533600,41964745.24929849
1612537200,44089234.85162555
1612540800,44583888.67679029
1612544400,46718119.56640324
1612548000,48622077.51332516
1612551600,47411002.136629395
1612555200,42594034.260834314
1612558800,45085357.135691315
1612562400,45071683.899272114
1612566000,46166343.18861826
1612569600,45735376.96963485
1612573200,43159108.02321861
1612576800,40195465.12852761
1612580400,37155059.0803645
1612584000,34398631.5024485
1612587600,36903140.35726368
1612591200,38189111.531614296
1612594800,38831000.76246762
1612598400,39592527.14661525
1612602000,40443866.86519078
1612605600,41918315.280970745
1612609200,36963298.00626306
1612612800,36460684.45153024
1612616400,38926275.80780523
1612620000,40171195.06144941
1612623600,39728595.44308159
1612627200,39964038.32579972
1612630800,35878400.54279954
1612634400,37027838.63947873
1612638000,38233425.48217148
1612641600,37595564.58892986
1612645200,34275922.94843335
1612648800,34482882.246537566
1612652400,32654807.76669065
1612656000,32921279.959141612
1612659600,33002485.604203515
1612663200,33712919.14692131
1612666800,33128018.47344774
1612670400,30647844.9220588
1612674000,29664687.46731101
1612677600,30589286.211603757
1612681200,33320863.34752706
1612684800,36407297.07110478
1612688400,36141075.98221058
1612692000,36400775.812772274
1612695600,30633570.017413337
1612699200,30468874.120961
1612702800,32409317.144555923
1612706400,32014911.730807748
1612710000,32398709.686861575
1612713600,32751496.593247022
1612717200,33993553.52061619
1612720800,38672232.167744346
1612724400,38524013.13704799
1612728000,36921354.40424115
1612731600,37540819.123717085
1612735200,37792555.26726954
1612738800,36542491.099590726
1612742400,37084369.776593514
1612746000,36913499.92132196
1612749600,34927470.37386516
1612753200,34553907.38465572
1612756800,35110752.93442868
1612760400,35891060.27480687
1612764000,37793038.61883901
1612767600,39539859.00308869
1612771200,39384598.21067606
1612774800,40001891.84983313
1612778400,39783161.81663512
1612782000,39748878.57326303
1612785600,39441956.04197496
1612789200,37050123.02630784
1612792800,35151033.93678335
1612796400,34260946.68919937
1612800000,34300097.28432215
1612803600,34472336.89395306
1612807200,33131680.36503906
1612810800,32110947.065353073
1612814400,31592197.745304808
1612818000,32483858.54323697
1612821600,32380552.453801107
1612825200,31305062.22360671
1612828800,30888835.374488693
1612832400,28962028.4503165
1612836000,30287326.897403613
1612839600,28703094.923440535
1612843200,29275172.000290122
1612846800,28350060.61875797
1612850400,26213496.31135653
1612854000,30539188.63928189
1612857600,30485523.527833033
1612861200,32471406.59342869
1612864800,31617390.686591927
1612868400,30318686.709937114
1612872000,32304826.669442136
1612875600,32957834.046327356
1612879200,34690272.7998757
1612882800,33884387.53481319
1612886400,35714290.26092496
1612890000,38398449.34910212
1612893600,43091012.7585014
1612897200,39720658.74843566
1612900800,44803910.87924349
