date,market_cap
1612136483745,7456461461.394298
1612140456660,7302151728.941848
1612142794396,7314755642.976782
1612146332832,7394783761.363115
1612149983171,7444315291.781649
1612153631202,7482449955.767846
1612157219175,7554513573.84602
1612160680140,7659043793.8512535
1612163827982,7596796968.801475
1612166635999,7635509544.234257
1612170137060,7735340019.695675
1612174323155,7706608557.617842
1612177632214,7695863552.236672
1612181122785,8209828524.434472
1612186415499,7872408333.927925
1612190432058,7626281016.529658
1612194109958,7639629175.141872
1612197598086,7621691048.188211
1612201157287,7569306519.729718
1612204820034,7552432532.962606
1612208387890,7554658492.877944
1612212405698,7589550890.697619
1612215572454,7585654409.506123
1612219331617,7650715704.42418
1612222743665,7699252604.854398
1612226615209,7772999432.248758
1612230085253,7798901471.101401
1612233625986,7734744280.109146
1612237092118,7670389446.623094
1612240781928,7690299854.305477
1612244519763,7714258557.623377
1612248113882,7707224198.187385
1612251573970,7688961215.572703
1612255271231,7786113329.703005
1612258621488,7969546069.565245
1612262547204,7911822824.660063
1612266108001,7854376874.001557
1612269779850,7854588374.205301
1612272419301,7929100564.712933
1612274612106,7873653991.776178
1612278126646,7868053660.289353
1612282097291,7852533220.612142
1612285804332,7963152640.659964
1612289304474,7958693646.184577
1612292685331,7919201969.890238
1612296936085,7979950122.766078
1612300141097,8000136438.742635
1612303674855,7959328260.271072
1612307013180,8040559959.867091
1612310634398,8045107472.118463
1612315667011,8058751001.261639
1612319308618,8087847707.512142
1612322870311,8225169662.60813
1612326476225,8272484586.628442
1612330072488,8183265849.042354
1612333609008,8175043282.780007
1612337220937,8234982959.157059
1612340810409,8052276749.290842
1612344439757,8063899666.167512
1612348089767,8096308323.550127
1612351703627,8194360006.074913
1612355428762,8087265504.431678
1612357469330,8068479509.8495
1612361105567,8111639784.703413
1612365378770,8110335367.756077
1612368246624,8228326395.716705
1612372596801,8295504480.406886
1612376215164,8346012757.676033
1612379786120,8329719568.404342
1612383496488,8245650860.949017
1612387037598,8282286676.765396
1612390666434,8293738996.880547
1612394252068,8297761265.3033
1612397930226,8356451219.913547
1612401584274,8452309673.076306
1612405201213,8439409992.683924
1612408188518,8313094029.611905
1612411716733,8190839278.112379
1612415426121,8163098819.091738
1612419109305,8170794869.023313
1612422842193,8206990064.276212
1612426276640,8143046967.035
1612430213311,8040003409.617502
1612433633902,7961186709.022084
1612436952811,7981243314.252767
1612440068159,7965590945.712779
1612444410273,7959492439.301246
1612448079520,7983204589.417746
1612451769546,7853624300.702678
1612455283621,7797911173.219994
1612458886508,7856261872.995678
1612462478570,7891538184.75473
1612465975447,7894668218.929885
1612469187638,7887533887.431184
1612472801570,7913860240.116974
1612476351012,7959881328.380708
1612480186927,7902211960.1042385
1612483847279,7830668913.277989
1612487591844,7931672920.955781
