date,market_cap
1612134000,36770279.122641705
1612137600,36264755.86924335
1612141200,34313190.26705183
1612144800,37204782.72353602
1612148400,36553647.18336185
1612152000,36178512.27648546
1612155600,36490868.796703875
1612159200,37060174.7805255
1612162800,37447992.94943867
1612166400,38485005.8588466
1612170000,40046449.6912254
1612173600,40027143.4422277
1612177200,39663103.38151304
1612180800,39001379.02941293
1612184400,37793462.86742143
1612188000,36544713.65213324
1612191600,37465305.229601905
1612195200,38698423.19866911
1612198800,40195274.38523661
1612202400,42714244.08446313
1612206000,47533600.042533696
1612209600,45353423.29010587
1612213200,46936617.53641442
1612216800,50602941.35217926
1612220400,51442808.12505329
1612224000,53544402.19503839
1612227600,48900441.52299705
1612231200,49240938.480448484
1612234800,50780878.17915807
1612238400,51141356.32951039
1612242000,50654016.42082758
1612245600,50456314.970302686
1612249200,50134228.78248749
1612252800,50184452.623583205
1612256400,50861907.59287981
1612260000,49928447.35533273
1612263600,48446963.886658184
1612267200,48424802.10739653
1612270800,47612016.50747982
1612274400,47921118.091936566
1612278000,47713735.929097235
1612281600,46440587.07992106
1612285200,49187863.3846786
1612288800,50015546.716362715
1612292400,52053244.177244455
1612296000,52325845.726314366
1612299600,52944071.66151963
1612303200,52436812.11693095
1612306800,53726188.59055581
1612310400,53393636.45006488
1612314000,55226606.017207585
1612317600,57702761.513852075
1612321200,60738108.00683405
1612324800,60561105.41594656
1612328400,63525871.704813704
1612332000,66291382.55625644
1612335600,67506915.18567967
1612339200,70799611.66819003
1612342800,67759703.72389719
1612346400,69950392.63397093
1612350000,88156752.61424832
1612353600,92788194.14450587
1612357200,92087142.20346478
1612360800,102367671.03525837
1612364400,96259181.78807224
1612368000,100097459.089757
1612371600,94409956.29734664
1612375200,95793809.54027833
1612378800,114295415.25687653
1612382400,101691897.72232756
1612386000,95954194.49394652
1612389600,103886113.84894258
1612393200,105891879.5997851
1612396800,104070547.2470688
1612400400,98259700.22809644
1612404000,97980571.54535125
1612407600,98294390.9979585
1612411200,99584626.84725535
1612414800,98018194.39041092
1612418400,108528579.21873164
1612422000,113344235.64023104
1612425600,110116967.7036583
1612429200,110926341.3484656
1612432800,105035555.93571052
1612436400,113549188.580352
1612440000,107438229.19739014
1612443600,108010466.38983737
1612447200,108484058.18074696
1612450800,105703977.8644177
1612454400,93748963.59861742
1612458000,95850616.6085558
1612461600,100286933.11103639
1612465200,92358198.78193167
1612468800,83693879.72678314
1612472400,70292085.63269778
1612476000,81715502.83015426
1612479600,72777654.2624539
1612483200,76220747.1980416
1612486800,78336188.70606019
1612490400,92390225.87237544
1612494000,88905657.224863
1612497600,94374703.62938792
1612501200,92848991.02218682
1612504800,90984193.35231373
1612508400,84524944.37744705
1612512000,84940082.19806555
1612515600,81989926.23948276
1612519200,79390219.18120521
1612522800,75822642.50603743
1612526400,75906320.12059908
1612530000,80407786.44804475
1612533600,76077863.53477123
1612537200,75578638.79633178
1612540800,73553444.68438607
1612544400,77406224.48102994
1612548000,75650500.17617606
1612551600,77958805.97139874
1612555200,78100461.5274394
1612558800,80658404.77048719
1612562400,86406614.48329753
1612566000,85911153.40989392
1612569600,83283732.64075258
1612573200,82239769.26997577
1612576800,73573370.36469606
1612580400,70429168.87722161
1612584000,71868157.70457475
1612587600,71673886.86373723
1612591200,70492638.86732972
1612594800,68602391.93140812
1612598400,67587237.33943667
1612602000,66371883.92651253
1612605600,63132220.546711974
1612609200,57531682.31287211
1612612800,52946628.52835512
1612616400,58853627.909760706
1612620000,59832030.31716832
1612623600,54375073.23304121
1612627200,57489967.068253554
1612630800,59755193.90407077
1612634400,61289412.771228276
1612638000,58760428.310331024
1612641600,61015376.91458009
1612645200,61669136.06060318
1612648800,58213462.098239675
1612652400,54366682.00596444
1612656000,54555991.23501448
1612659600,55004751.96211392
1612663200,55438218.17984687
1612666800,51463515.21380889
1612670400,51596395.427337125
1612674000,50307439.87070617
