date,volume
1612136378064,14772960.460769668
1612140399236,14756352.277674548
1612143978305,14566280.684173042
1612147390359,14553028.357868452
1612151184590,14392454.79204576
1612154672596,12627704.543485384
1612158148132,11020306.25740986
1612161589404,11554981.535306063
1612165208270,12392983.80880816
1612168897902,13558364.639553208
1612172595747,13698230.940325608
1612176010175,13776897.929595837
1612180285804,13899543.322776077
1612183418891,13725087.374848248
1612186768301,13623056.73770997
1612190528559,13621582.356041318
1612194197907,12849154.672374548
1612197731663,12107378.189292088
1612201213130,11794453.639532097
1612204912257,11690827.92713041
1612208473034,11405016.051280223
1612212469689,11428438.829860905
1612215700025,11598406.272891736
1612219415106,12214898.885080894
1612222779093,12075928.845717521
1612226671160,12307107.109513791
1612230146188,12196151.16305328
1612233710802,11849747.77760746
1612237141213,12057484.924224125
1612240901685,11796760.1648376
1612244591251,11855622.866288565
1612248181136,10826663.331054157
1612251674041,10391061.09401315
1612255339769,9090315.769812698
1612258671053,9163272.453821035
1612262619558,9387131.740552083
1612266161729,9440562.037067894
1612269863575,9758044.282392351
1612273302614,10315635.902536433
1612276934898,10261886.261731045
1612280684772,10282489.830997072
1612284250631,10494020.903905317
1612287598109,10625110.66222063
1612291416199,10406753.830264477
1612294952253,10339419.748543516
1612298568470,10220471.154095212
1612302132250,10143806.740804493
1612305724263,9627799.232497301
1612309191303,9479734.945356358
1612313102743,10358921.45075099
1612316611690,22644508.91100421
1612320177228,24626074.638410073
1612323736274,25998477.935288858
1612327587351,27847247.64626464
1612330798858,27094675.609987367
1612334411857,28214375.007189173
1612338108794,27935608.180644028
1612341671478,28612983.20430826
1612345214998,28597114.36675009
1612349250116,28612963.916407954
1612352642630,28481498.47490679
1612356363017,28680171.25275484
1612359940903,28588990.817837484
1612363452919,28767821.210835114
1612367481173,29832198.280758232
1612370907380,30471808.464025058
1612374211290,30791382.804496452
1612377839649,31008522.33105403
1612381472183,31557621.824188225
1612385218903,31844477.124539785
1612388671203,32316491.89131033
1612392286204,32304601.254252072
1612395827471,33233350.03653034
1612399667911,31461867.248432387
1612403167086,21452654.002761345
1612406794081,20371966.64507038
1612410699518,19181518.42240438
1612414086439,18582670.19441955
1612417538888,18345898.647842497
1612421184831,18510677.295278504
1612424700542,18464610.117798813
1612428413416,18371170.82873143
1612432328851,19277053.446498714
1612436018064,19322985.829297986
1612438940774,19293323.74608645
1612442537362,19820526.486389793
1612446192449,19611430.58369945
1612449718818,19621087.74441956
1612453710791,18995088.428323295
1612456943520,18642413.40787349
1612460521916,19055379.83786873
1612464206808,19259069.000062406
1612467873440,18959857.61348621
1612471583801,18334857.985467404
1612475029874,18608149.297010835
1612478624491,17903936.01139631
1612482285246,17209269.597210646
1612485893424,16363488.377517791
1612489591983,16012053.208668888
1612493019228,15625663.380877985
1612496673830,15617219.336421508
1612500425317,15704343.605344864
1612503923588,15658527.104660723
1612507469869,15989645.441189049
1612511070346,16949633.402030513
1612514656330,16857000.82496111
1612517997570,16803419.83240452
1612521842377,17074802.1856946
1612525457071,19723450.545338534
1612529094281,20104234.211897913
1612532568435,21580852.611083448
1612536122235,23004978.645673048
1612539871357,23986386.30684067
1612543451995,27965336.557440616
1612547115885,27805861.515466623
1612550689257,28228057.826698083
1612554173057,28908198.135265682
1612558287584,29421289.6213027
1612561356204,29378733.705678377
1612564998833,29817655.82844097
1612568583598,31421359.216570884
1612572272340,31504505.52081707
1612575889010,31859787.206578165
1612579485168,33126200.4659414
1612583054870,33233232.909563538
1612586717983,33558746.81328184
1612590431472,33795006.319842465
1612593787547,32906804.114697047
1612597450123,32214018.407046996
1612601001233,31845681.319609366
1612604545167,31162946.933155518
1612608236040,31207698.908614848
1612611929801,28733978.230800003
1612615481366,27986915.456514902
1612619031410,26314952.05532402
1612622692124,24817218.748594698
1612626426758,23907871.042103883
1612629889608,20140656.93564444
1612633495996,18728812.431911588
1612637030834,18598386.094520435
1612640794403,18755789.790984876
1612644426986,18056672.59026144
1612647827193,17709573.320724126
1612651367100,17255765.70188538
1612655035240,16332050.962540071
1612658690167,16172385.44898878
1612662295427,14761200.606638834
1612665995278,20319231.06845763
1612669622290,25876606.982478753
1612673115114,31601010.65508482
1612676866620,46254186.55892671
1612680236399,48462682.51005497
1612683897660,51774264.41362495
1612687457333,53895901.556650415
1612691047256,57005545.86123172
1612694517959,58174884.283703536
1612698258078,58881467.33598071
1612701857007,58993254.737277
1612705488227,60662653.363893874
1612709074373,66668443.69148597
1612712860254,84971236.53371944
1612716238905,92554350.08878951
1612719890907,100057939.4608285
1612723492894,102509057.64928527
1612727120659,104738228.39466794
1612730907476,111811654.72961152
1612734240323,114180293.81480479
1612737992347,114434080.1095386
1612741574491,114971828.92488621
1612745281357,114868405.28051868
1612748865287,117170672.4854132
1612752335698,104854101.75228639
1612755823110,101360186.80622754
1612760021287,91805587.72801721
1612763069827,86530017.81587507
1612767035905,82098144.74600068
1612770200771,80701711.86548454
1612773764274,79988986.27166796
1612777340193,80420504.29606894
1612780994812,78980055.09433506
1612784580093,76736329.55494535
1612788281042,74643973.63965869
1612789309016,75133155.47201712
1612793213551,72315698.83881302
1612797084141,62434967.41527956
1612800434703,58229646.54204918
1612804635878,49456069.62563087
1612808297899,48189321.14041732
1612811920759,47675197.0884316
1612815644519,42980232.73581441
1612818680220,42177984.5026072
1612822679152,40495375.54682877
1612826244312,39418046.15463371
1612829955889,40214785.79716404
