date,price
1612476000,2.01289354605617e-11
1612479600,4.0072244461323746e-11
1612483200,2.7333373663090978e-11
1612486800,3.453706562423171e-11
1612490400,3.253322822971518e-11
1612494000,4.687785076175736e-11
1612497600,4.427260569897243e-11
1612501200,4.131180304055722e-11
1612504800,5.153194092146891e-11
1612508400,5.86361141320587e-11
1612512000,6.073497913794536e-11
1612515600,7.741298536255809e-11
1612519200,5.149850877132485e-11
1612522800,7.339951534107548e-11
1612526400,6.632794978583101e-11
1612530000,7.196049794943823e-11
1612533600,6.839732012520238e-11
1612537200,6.629212749537569e-11
1612540800,4.389792074699783e-11
1612544400,5.920583873232777e-11
1612548000,5.7809883531430723e-11
1612551600,6.232082711798085e-11
1612555200,6.229153304388788e-11
1612558800,5.0265171677259997e-11
1612562400,4.2648564897000454e-11
1612566000,5.305086105337288e-11
1612569600,5.1739006834698827e-11
1612573200,5.2354314370173226e-11
1612576800,5.096636400946611e-11
1612580400,5.1895631897777216e-11
1612584000,4.9738441867761666e-11
1612587600,4.2152269947506126e-11
1612591200,4.365025957114835e-11
1612594800,3.477087873200263e-11
1612598400,3.6690127532994293e-11
1612602000,3.138323314781753e-11
1612605600,3.859387200074624e-11
1612609200,3.472150103963122e-11
1612612800,3.904438433315574e-11
1612616400,3.1470309805993764e-11
1612620000,3.7953242956051364e-11
1612623600,3.475911772429431e-11
1612627200,4.388702547416661e-11
1612630800,3.02731509992494e-11
1612634400,2.6648798187259917e-11
1612638000,2.7247640780082096e-11
1612641600,3.9641583882420976e-11
1612645200,3.796237146149919e-11
1612648800,4.60835600165182e-11
1612652400,5.0087378900763256e-11
1612656000,4.164201625575509e-11
1612659600,4.449946111377163e-11
1612663200,4.931290597881783e-11
1612666800,4.915305969733738e-11
1612670400,5.252659584914165e-11
1612674000,4.93395410099491e-11
1612677600,4.920752838199529e-11
1612681200,4.9881214394654206e-11
1612684800,5.4328891443363097e-11
1612688400,5.696648203924271e-11
1612692000,5.167392876214497e-11
1612695600,4.9755071515439184e-11
1612699200,4.8100389410470794e-11
1612702800,4.7350220530273025e-11
1612706400,4.425094530792694e-11
1612710000,4.214611783588055e-11
1612713600,4.533690747595002e-11
1612717200,4.015733547825501e-11
1612720800,3.8210653696377475e-11
1612724400,4.973126013195742e-11
1612728000,4.823025987775747e-11
1612731600,4.342989503631502e-11
1612735200,4.47908713694997e-11
1612738800,4.7028151372902174e-11
1612742400,4.7987716548657766e-11
1612746000,4.1868354374013365e-11
1612749600,4.181707411801207e-11
1612753200,4.1522814185372395e-11
1612756800,3.926510601953502e-11
1612760400,3.3944533822862814e-11
1612764000,3.5373894719064166e-11
1612767600,3.828193778648067e-11
1612771200,4.193329239146992e-11
1612774800,3.6608580459573546e-11
1612778400,4.013195318349931e-11
1612782000,3.802120300847278e-11
1612785600,3.775274755460752e-11
1612789200,3.420280262923603e-11
1612792800,3.4459316151907586e-11
1612796400,3.454554858211569e-11
1612800000,3.784736280993026e-11
1612803600,3.5836103475180793e-11
1612807200,3.693569995394817e-11
1612810800,3.663768654344816e-11
1612814400,4.1932624704292406e-11
1612818000,4.232146149637103e-11
1612821600,4.361421530877743e-11
1612825200,4.560116167076924e-11
1612828800,4.460588089517258e-11
1612832400,4.606308071906011e-11
1612836000,3.892597925119767e-11
1612839600,4.0001465209826825e-11
1612843200,4.368534916000973e-11
1612846800,4.349935135353083e-11
1612850400,4.102676274046396e-11
1612854000,3.973744656185977e-11
1612857600,3.820235098226524e-11
1612861200,3.089755548791466e-11
1612864800,3.204322189800082e-11
1612868400,3.2048584175915924e-11
1612872000,3.5730359515011725e-11
1612875600,2.8794113102606434e-11
1612879200,2.991175689090035e-11
1612882800,3.32563951426201e-11
1612886400,3.393985372404149e-11
1612890000,3.269870329295435e-11
1612893600,2.964214194191677e-11
1612897200,2.529016732734722e-11
1612900800,2.8918760425203263e-11
1612904400,2.5504910990739888e-11
1612908000,2.8465342124560927e-11
1612911600,3.2139147651463446e-11
1612915200,3.122849964551254e-11
1612918800,2.933166564268785e-11
1612922400,2.980378529598094e-11
1612926000,3.0286659544521045e-11
1612929600,2.751355490065723e-11
1612933200,2.8470668035846163e-11
1612936800,2.6426801902920967e-11
1612940400,2.709355917539116e-11
1612944000,2.7838715908024395e-11
1612947600,2.8747023441315912e-11
1612951200,2.8143998691971967e-11
1612954800,2.6685025041518997e-11
1612958400,2.7208207792781103e-11
1612962000,2.7831675200897662e-11
