date,market_cap
1612134000,188298415.4407538
1612137600,183245278.18143466
1612141200,186935374.32850483
1612144800,187876462.95554975
1612148400,188990394.10780346
1612152000,188745818.15485725
1612155600,188735995.80415028
1612159200,189631884.82364956
1612162800,189261283.95448086
1612166400,188905893.28532857
1612170000,190582491.0115951
1612173600,191754425.27930987
1612177200,191756740.55251086
1612180800,195328296.37700012
1612184400,200244477.97259122
1612188000,193151290.2368232
1612191600,193327244.20772046
1612195200,197419515.42002437
1612198800,195325163.36248508
1612202400,196991960.09720016
1612206000,198160355.5996811
1612209600,198568728.40286556
1612213200,194920643.8527519
1612216800,195920870.0646742
1612220400,196945534.53268808
1612224000,196595708.83240518
1612227600,197248093.2589686
1612231200,194686775.67616832
1612234800,194413630.0658101
1612238400,193623484.39793423
1612242000,194578013.23916322
1612245600,194884447.32377398
1612249200,195369294.6262329
1612252800,195893496.56351227
1612256400,194921061.47033817
1612260000,196133858.7759104
1612263600,195987449.261646
1612267200,196277024.3893817
1612270800,199259001.96845767
1612274400,198498815.4572065
1612278000,197216016.8238294
1612281600,199640915.91280204
1612285200,198633117.36369097
1612288800,199861616.46855143
1612292400,199428739.38880455
1612296000,199843351.5478057
1612299600,197691169.9176342
1612303200,200431239.60204288
1612306800,201185699.64948323
1612310400,200697144.85784826
1612314000,200963424.17259413
1612317600,200562375.35756135
1612321200,202174640.27356666
1612324800,203236261.9725628
1612328400,203505433.36897922
1612332000,204520798.4069766
1612335600,205051916.62288022
1612339200,202152143.57945564
1612342800,202132321.3915794
1612346400,202586656.82072514
1612350000,205192159.2037039
1612353600,207605277.7510851
1612357200,209354942.88769794
1612360800,209619201.64862823
1612364400,211268895.9985519
1612368000,211434241.3157722
1612371600,212279195.2958555
1612375200,212556203.68418613
1612378800,211451701.86496484
1612382400,210671276.89602298
1612386000,210678805.4207927
1612389600,213159774.34889242
1612393200,213260532.16723296
1612396800,213234878.9146244
1612400400,210349250.24213925
1612404000,208290635.23956117
1612407600,212113480.78671175
1612411200,210348966.29282182
1612414800,209233977.96068317
1612418400,208599662.9911835
1612422000,210887940.32668513
1612425600,205635340.96595716
1612429200,202762776.43185782
1612432800,204874575.69568145
1612436400,203551028.71896017
1612440000,200865644.60897967
1612443600,203403345.65985867
1612447200,204098737.79343098
1612450800,197209155.59573293
1612454400,199206421.97427714
1612458000,202214647.46993342
1612461600,202063662.72587636
1612465200,202350765.1115764
1612468800,203721537.85241938
1612472400,205662031.21948922
1612476000,202491985.72907832
1612479600,202722345.46438065
1612483200,207240595.15608916
1612486800,211778662.02749264
1612490400,210622890.53508204
1612494000,210973377.84084392
1612497600,214171272.04828277
1612501200,215175945.2353321
1612504800,215878927.98375094
1612508400,223181560.72900152
1612512000,226514737.7604429
1612515600,226029421.4118255
1612519200,231071420.2777361
1612522800,230436951.84068313
1612526400,225464766.7754132
1612530000,225306768.43761975
1612533600,227727175.68857282
1612537200,233691061.85895014
1612540800,230448511.82548398
1612544400,229245312.80652973
1612548000,230039421.8910708
1612551600,225694755.8035135
1612555200,227134673.61810547
1612558800,230204579.28748018
1612562400,237844761.06864458
1612566000,247787427.32804954
1612569600,248761939.9488177
1612573200,246978232.88411635
1612576800,234383704.30693787
1612580400,234002490.88531917
1612584000,231851609.93299815
1612587600,227501782.59044915
1612591200,235475404.63306496
1612594800,237103083.36555332
1612598400,237592703.63298628
1612602000,235862394.7980033
1612605600,235418157.6940046
1612609200,226693274.90052733
1612612800,232261094.0899031
1612616400,230778575.50393325
1612620000,229597116.31533358
1612623600,231350303.43313748
1612627200,228275841.56693015
1612630800,231334425.58143172
1612634400,231761582.09208807
1612638000,230221003.73776206
1612641600,232874168.13119125
1612645200,237476045.34167337
1612648800,234817725.32872337
1612652400,231948956.25520486
1612656000,232847010.88373637
1612659600,229858763.6004979
1612663200,219844168.81874105
1612666800,221953010.55854407
1612670400,220803171.1135593
1612674000,217050713.6791127
1612677600,214183625.45376623
1612681200,219343055.3310523
1612684800,222717227.0733411
1612688400,223266905.8833108
1612692000,225428795.89267227
1612695600,222976379.47271022
1612699200,220723749.82594714
1612702800,223225230.45006466
1612706400,218966820.38388628
1612710000,213973488.72152215
1612713600,211066656.44544435
1612717200,216125866.63878343
1612720800,219478112.4753149
1612724400,220105096.9903909
1612728000,217835870.9510423
1612731600,220672502.0991356
1612735200,220281571.86055467
1612738800,221768551.78176922
1612742400,223493834.39055791
1612746000,218915669.49119833
1612749600,218129497.74609783
1612753200,217914628.14870614
1612756800,220541372.14043176
1612760400,222287307.06839252
1612764000,226719309.71553797
1612767600,229534162.2982258
1612771200,230644725.8597243
1612774800,229484141.7340769
1612778400,231028508.4807869
1612782000,236381402.5589609
1612785600,234317815.04353496
1612789200,239760328.60193133
1612792800,253645479.94410655
1612796400,251024728.62195724
1612800000,250025187.77597666
1612803600,253094675.6803412
1612807200,253025970.990642
1612810800,252609017.1945344
1612814400,251543624.8991272
1612818000,254609059.403642
1612821600,254658571.42978323
1612825200,243438545.44308075
1612828800,248840948.30461162
1612832400,246276692.46276042
1612836000,252388101.40544853
1612839600,247872839.56756634
1612843200,249448835.24084476
1612846800,248332112.92057067
1612850400,249930718.51865092
1612854000,250989155.86987576
1612857600,256733555.4127888
1612861200,259664360.44388595
1612864800,256431653.64072096
1612868400,251745548.38869938
1612872000,265751052.9718183
1612875600,253985370.24427938
1612879200,259403980.90027216
1612882800,260413567.78419995
1612886400,261770267.55486497
1612890000,263894801.33928248
1612893600,267884112.1939579
1612897200,268811376.2226734
1612900800,270351168.6176781
1612904400,272774409.68570983
1612908000,270780815.50885576
1612911600,271906730.8105924
1612915200,267973154.36501515
1612918800,263872260.37048632
1612922400,267519895.32834312
1612926000,269428846.86147034
1612929600,266676063.04205173
1612933200,266196569.52551982
1612936800,269890384.710165
1612940400,274100290.1706118
1612944000,276360821.60320544
1612947600,282609847.4789369
1612951200,304393939.0403424
1612954800,301414635.2836567
1612958400,291740005.64816517
1612962000,281985664.056308
1612965600,315376174.31974864
1612969200,335600781.21914256
1612972800,327877192.55484104
1612976400,341292791.9047872
1612980000,335184968.6016411
1612983600,338223746.465817
1612987200,341153878.0633691
1612990800,325484529.32731426
1612994400,328807849.38893926
1612998000,327335393.8437211
1613001600,324165017.98098975
1613005200,327523522.11367786
1613008800,332066028.09633726
1613012400,333255344.1561975
1613016000,336833020.9481997
1613019600,336876204.25706637
1613023200,333255833.7865972
1613026800,336340327.5330922
1613030400,338587092.4614115
1613034000,342597038.6778707
1613037600,360397228.6445806
1613041200,356415923.4504401
1613044800,352577344.09467304
1613048400,336293995.3056254
1613052000,344255143.1444712
1613055600,343907954.3083384
1613059200,344479368.48074704
1613062800,341506706.7474109
1613066400,345102049.96146977
1613070000,345939165.83387154
1613073600,344948650.73895544
1613077200,332613072.6313786
1613080800,341693432.56265074
1613084400,345714701.811668
1613088000,342303938.78934145
1613091600,343551572.36024594
1613095200,347218419.38564926
1613098800,342770728.90509677
1613102400,327696215.2854024
1613106000,335953199.38714856
1613109600,331225855.78892696
1613113200,336572529.99029297
1613116800,334369194.10531664
1613120400,332216058.27311057
1613124000,336369634.88950664
1613127600,337135642.3123465
1613131200,343351259.8422953
1613134800,344663793.76231605
1613138400,349064635.94437414
1613142000,328813103.9290486
1613145600,337949540.6558893
1613149200,339684625.60167885
1613152800,342177261.999088
1613156400,346734277.06905663
1613160000,346365410.43321157
1613163600,346080897.22213817
1613167200,346567056.2473738
1613170800,346733707.14762527
1613174400,347578445.45789963
1613178000,355696167.8673657
1613181600,355174819.9381212
1613185200,362192101.4597564
1613188800,355483105.71606797
1613192400,359496450.8940602
1613196000,359076319.0197806
1613199600,370899238.52017546
1613203200,355134708.3118567
1613206800,371864403.2692513
1613210400,369055116.165918
1613214000,354135410.90970016
1613217600,346526524.0829881
1613221200,418385384.0284361
1613224800,422053174.4138163
1613228400,415584733.0935657
1613232000,411178235.564801
1613235600,415063488.45836854
1613239200,413506528.3855899
1613242800,416434284.08534217
1613246400,434751215.3969694
1613250000,433300077.5228307
1613253600,464806301.086154
1613257200,495370850.0529206
1613260800,473081911.93077934
1613264400,462276092.04534143
1613268000,463475156.8847007
1613271600,468241831.5186208
1613275200,443681960.6699305
1613278800,446764576.85263044
1613282400,444443358.79002154
1613286000,448679979.825561
1613289600,467480111.5098647
1613293200,523628071.22771287
1613296800,535264905.2864475
1613300400,619830753.7252744
1613304000,613989588.2879989
1613307600,547823557.4288054
1613311200,550159752.625119
1613314800,526129349.92746156
1613318400,510812161.90925837
1613322000,556768646.5413989
1613325600,532467992.151451
1613329200,513835719.52785474
1613332800,526846014.24655384
1613336400,525599625.7930786
1613340000,542936369.4367625
1613343600,546493881.558583
1613347200,546516001.7913992
1613350800,551004207.5376545
1613354400,499625031.6202615
1613358000,460638534.9933678
1613361600,474534902.60442597
1613365200,465584123.76711977
1613368800,465213305.60172534
1613372400,478087381.8181333
1613376000,495425021.1745428
1613379600,500677485.3496722
1613383200,484116399.9160975
1613386800,486832737.1708307
1613390400,512411617.2662188
1613394000,512811885.2398874
1613397600,511277370.6207066
1613401200,504030926.4219302
1613404800,513333398.44557273
1613408400,512767902.87640053
1613412000,518946472.4430176
1613415600,504415558.87875444
1613419200,502370797.9613056
1613422800,485495581.01448375
1613426400,474116495.6732693
1613430000,484880343.28399485
1613433600,472370312.86596674
1613437200,501662281.75379974
1613440800,499101181.16085654
1613444400,496194152.7234488
1613448000,489889457.7372383
1613451600,491248934.93671757
1613455200,487985414.5217303
1613458800,489143644.10083795
1613462400,488038389.5638922
1613466000,497168369.90681136
1613469600,494468101.39844924
1613473200,485222362.0108187
1613476800,482268025.16926515
1613480400,471886153.61658823
1613484000,466135412.482277
1613487600,471987448.5129047
1613491200,475564536.19605136
1613494800,457945104.6560449
1613498400,455862695.9215998
1613502000,455448483.5793622
1613505600,448594835.49834895
1613509200,437768026.7179556
1613512800,437922270.5413713
1613516400,449521473.45241654
1613520000,462038608.11748356
1613523600,454266895.2798266
1613527200,448985856.08929664
1613530800,448229795.01029474
1613534400,434414027.57247233
1613538000,426211155.3155346
1613541600,425855725.7588303
1613545200,444818397.4563171
1613548800,453721667.1167509
1613552400,449497815.83980405
1613556000,450942325.8800781
1613559600,462132869.3990379
1613563200,466203215.1309192
1613566800,457915680.8614132
1613570400,479797850.2286143
1613574000,478060443.5205604
1613577600,468812878.49213374
1613581200,469067872.613456
1613584800,476032464.4907977
1613588400,468785644.7979022
1613592000,468744285.89369124
1613595600,473823341.67096984
1613599200,488387264.79241765
1613602800,478189101.5351115
1613606400,477818893.02971643
1613610000,486523699.6939913
1613613600,497823198.808212
1613617200,499048062.45540875
1613620800,495821493.2295109
1613624400,497783688.2381477
1613628000,492628245.04061943
1613631600,498542201.2453305
1613635200,493299503.62333757
1613638800,483425780.2346666
1613642400,489111721.112168
1613646000,488896138.9115474
1613649600,481178306.9961929
1613653200,484714587.54801613
1613656800,494276944.3974877
1613660400,508030126.87944305
1613664000,508640456.49541783
1613667600,526315432.7228626
1613671200,541941639.0766836
1613674800,522731331.6957019
1613678400,528073491.3444099
1613682000,529330124.462822
1613685600,538865380.8948561
1613689200,541729685.8936357
1613692800,535563223.2326731
1613696400,524938112.09843606
1613700000,519658406.59819615
1613703600,502729497.7952976
1613707200,509613940.80192256
1613710800,505719516.0205025
1613714400,505950339.99447614
1613718000,515633346.62167513
1613721600,524729277.5176166
1613725200,525758555.18128496
1613728800,528339137.82275635
1613732400,526546899.92615646
1613736000,546490717.4583801
