date,volume
1613927348145,2069714138.718217
1613931081005,1913565525.8865764
1613934287407,2086036674.6010752
1613937970959,2068531509.5399384
1613942206737,1873205836.0321777
1613944925979,2010505365.599498
1613948681777,1947852328.2590697
1613952717982,1905262850.32973
1613955642597,1856079550.910208
1613959442420,1674686874.887101
1613963203262,1841056619.0282269
1613966637946,1819225378.7880855
1613970202524,1806851698.034128
1613973714545,1790536124.22879
1613977521988,1810135619.499496
1613981236999,1796639862.9111092
1613984574467,1793952620.2539456
1613988313706,1765290249.732471
1613992663713,1817393746.9676368
1613995493058,1800551031.5499659
1613999092080,1689041077.3882868
1614002746161,1684177455.1012075
1614006295580,1896979651.3576844
1614009894619,2089445024.8858128
1614013538338,2147777901.151339
1614017184009,2110954723.4584756
1614020803909,2012217860.0245957
1614024251240,2202019217.441734
1614028181444,2141639568.9035833
1614031749145,2368423897.3688617
1614035321643,2330379901.769423
1614038553297,2385074423.1790676
1614042403077,2337834745.9392495
1614045726562,2276799389.5877686
1614049521932,2117045829.4536974
1614053182438,2352412791.237259
1614057224244,2273537188.4372635
1614060248171,2345527632.500477
1614063898694,2346369452.6138496
1614067387610,2385610549.6325207
1614071524223,2247994088.5683327
1614074958475,2256512648.775189
1614078237267,2200681748.0286307
1614081849871,2315589933.057986
1614085630948,2481936944.2735085
1614088965015,2347938953.072176
1614092904663,2144310957.5301008
1614096070565,2344589587.0423183
1614099939257,2169897451.9546723
1614103530849,2259931909.460578
1614107304600,2245879300.33003
1614110602871,2081587968.536016
1614114866168,2280311946.9802985
1614118385287,2240088750.3467975
1614121954250,2289440150.087857
1614125450084,2302606797.2472205
1614128690171,2298676000.390805
1614132234066,2423433622.2114563
1614135975390,2439144714.2012444
1614139778522,2469521829.6919084
1614143061537,2275197815.1474323
1614146898186,2361611551.1129665
1614150486143,2140716337.233285
1614154520133,2345606636.443206
1614157519857,2335231101.9294834
1614161387396,2373276408.1256003
1614164650256,2356941550.4788966
1614168135717,2357602984.848982
1614173375395,2212283704.659606
1614175516097,2088417807.847677
1614179113261,2045236564.1919136
1614182839671,2215219036.2389154
1614186350815,2176730466.1273465
1614189795923,2185750314.7728314
1614195072218,2004754626.0904365
1614197014911,2076149160.5822418
1614200750989,1951038778.1020496
1614204270071,1931999500.1365104
1614207896008,2078009543.2302077
1614211591503,2128933604.9933348
1614216143158,2169921002.5889935
1614220656826,2106601033.8699086
1614224236440,2048408916.7646873
1614225869216,2054348068.191755
1614229440226,1993914551.6659558
1614232859351,2024986970.5366924
1614236664295,1892687541.413453
1614240103131,1872423455.1192696
1614244001516,1882795966.7630386
1614247288934,1833206938.9415088
1614250890189,1864073777.175444
1614254543341,1814950908.9582222
1614258556065,1846511296.3114977
1614261738769,1803653976.8147533
1614265472599,1648159864.1883638
1614269273337,1576710744.477795
1614272535173,1699034595.0726845
1614276306109,1657888630.3044543
1614279638547,1660538994.735991
1614283692580,1543345212.6421826
1614287314238,1523830143.8144214
1614290939508,1491069559.276497
1614294211984,1608794803.080906
1614297617028,1558050522.087833
1614301479753,1415028834.118161
1614304910773,1421251360.34051
1614308713515,1515935121.44779
1614312196017,1524725131.7307143
1614316052334,1504736152.5746064
1614319803114,1444471776.313106
1614323296884,1453448955.7580569
1614326853454,1420250859.119026
1614330330547,1468166780.806068
1614333686477,1503894541.5764625
1614337475547,1487113576.8564444
1614341564302,1481039199.8891063
1614345742999,1393969946.3150413
1614348308286,1394851646.7345488
1614351693799,1466442911.3108742
1614355796767,1470849035.725086
1614359235426,1487006446.9128938
1614362690196,1396993141.1064155
1614366466148,1438732351.7858205
1614369880529,1374792297.68319
1614373403555,1378375818.71501
1614376941192,1364250584.535178
1614380861073,1339897288.1316698
1614384276678,1350837733.4146106
1614388172972,1378954282.4589925
1614391788677,1371779600.3266904
1614395380086,1343895148.8991854
1614398988845,1365706225.2128673
1614402598174,1367045753.6928203
1614406228550,1364980827.314765
1614409887624,1386416983.37077
1614413388181,1389637115.7504938
1614417061364,1344110889.7172136
1614420590769,1277502482.9104047
1614424296759,1347306404.2940886
1614427804577,1363223235.6203902
1614431418147,1387303948.7159023
1614435041017,1372249899.5296054
1614438664554,1304053379.5201623
1614442406021,1353983256.9420402
1614445763454,1360518746.0508525
1614449391394,1364796670.3330562
1614452974486,1352583559.2296453
1614456667890,1356549856.7332313
1614460163588,1333788527.3344343
1614463776661,1221058734.846678
1614467406171,1259120935.2913015
1614471079030,1176612959.0891857
1614474546039,1169069761.00452
1614477867079,1150570186.338997
1614481379288,1133174392.9741924
1614485090466,1125646541.3342376
1614488586028,1115006987.1663473
1614492078722,1139599594.7020197
1614495667914,1205284316.3023612
1614499274381,1196222263.7417793
1614503283075,1185854933.5332823
1614506707233,1187828283.556912
1614510286054,1194878588.1347475
1614513750816,1166176251.073086
1614517300747,1098790608.881221
1614521119338,1148580190.258784
1614524666515,1153820695.2404146
1614528040497,1053990190.9444503
1614531779167,1136265656.661991
1614535489012,1144441118.1144516
1614539197589,1171891706.6794982
1614542774547,1216377520.9192135
1614546171371,1211058631.4688156
1614549932437,1236688961.4279764
1614553358205,1245005810.8133414
1614557107882,1160879712.8860705
1614560466271,1160455060.021612
1614564216105,1265700713.3791726
1614567945448,1280620794.2509642
1614571505596,1241103706.417965
1614575096585,1169097958.422585
