date,volume
1612134000,196583164.58441857
1612137600,195491908.80716312
1612141200,194734740.8965017
1612144800,197936034.89450395
1612148400,192235164.6749678
1612152000,191262629.22513664
1612155600,189216397.27350557
1612159200,190868533.58327767
1612162800,191576820.49588647
1612166400,185183524.73261467
1612170000,186711827.88560277
1612173600,177104091.95378846
1612177200,170949626.63659835
1612180800,165832162.2240229
1612184400,155367134.52212116
1612188000,139054093.7902241
1612191600,127513036.94194415
1612195200,120142584.82661867
1612198800,114256652.73446126
1612202400,112899548.88801695
1612206000,110601041.6460325
1612209600,106805971.40775655
1612213200,99667946.62022096
1612216800,90871190.78440523
1612220400,88651058.95093359
1612224000,85378261.56421861
1612227600,85199045.27277088
1612231200,86160064.6883321
1612234800,88256526.59441411
1612238400,88585189.94835033
1612242000,88888866.80307914
1612245600,89316618.33321294
1612249200,84613894.34136209
1612252800,86028900.97869389
1612256400,85777035.5888267
1612260000,84618459.85195774
1612263600,101674153.19466008
1612267200,114349534.50007407
1612270800,149286449.75982052
1612274400,157093700.94082424
1612278000,163593475.8553049
1612281600,164508323.2799422
1612285200,161534046.59284493
1612288800,160005628.97108033
1612292400,160203948.4219041
1612296000,163511911.4310275
1612299600,163252458.74652797
1612303200,169912614.72280166
1612306800,181353525.23456863
1612310400,182496533.96397033
1612314000,212482137.08365813
1612317600,217499034.63362747
1612321200,229957007.6291953
1612324800,231446055.41187382
1612328400,235304104.99201697
1612332000,247106528.07990316
1612335600,268040633.5473662
1612339200,275826297.426193
1612342800,278679155.9747595
1612346400,287130131.73987204
1612350000,280041215.1746593
1612353600,267889066.83019808
1612357200,246088408.70664102
1612360800,232865786.80834553
1612364400,222670616.5474653
1612368000,221954897.07283294
1612371600,221233566.19033158
1612375200,224423254.71310493
1612378800,224620057.7579661
1612382400,222409935.6959758
1612386000,226819850.21496224
1612389600,226038869.136636
1612393200,219657778.9450832
1612396800,216257406.9318073
1612400400,201266131.33567482
1612404000,188976833.02703497
1612407600,181565303.30526844
1612411200,176407242.09591943
1612414800,172295617.8494784
1612418400,167970026.55126193
1612422000,147657314.09410626
1612425600,153626660.67781118
1612429200,145489464.9576875
1612432800,146231529.2429789
1612436400,143803718.93355495
1612440000,135916549.1074496
1612443600,133377230.79530224
1612447200,134611391.53466937
1612450800,135051181.6499288
1612454400,132109422.57204868
1612458000,129673959.03368971
1612461600,130017492.93924072
1612465200,133166423.53873688
1612468800,138323498.9475595
1612472400,133631815.98754676
1612476000,137874923.63544676
1612479600,135628276.08464253
1612483200,133117119.12421598
1612486800,133170390.49043255
1612490400,132277748.14873807
1612494000,131834362.88480037
1612497600,136117080.15651655
1612501200,136165256.45365056
1612504800,133783409.7675771
1612508400,132843687.03852463
1612512000,122985369.51226601
1612515600,118541404.53830537
1612519200,108465204.59021075
1612522800,113912877.29997501
1612526400,112964996.31057976
1612530000,111913221.63743833
1612533600,116497654.40814357
1612537200,115597073.38984682
1612540800,115772320.16895251
1612544400,116457906.60737854
1612548000,117102973.17805526
1612551600,114435997.40098432
1612555200,114284383.41829951
1612558800,112305299.40033355
1612562400,113210398.98931713
1612566000,121670883.91643687
1612569600,124770630.12009665
1612573200,132077485.99864359
1612576800,138735850.65223426
1612580400,141477416.61660254
1612584000,141032911.44133535
1612587600,142122502.54014853
1612591200,143668230.30440417
1612594800,142119101.72811666
1612598400,143325682.5554945
1612602000,144063800.2196058
1612605600,138516007.68475184
1612609200,133092454.98699099
1612612800,134836593.29228714
1612616400,134934430.4267204
1612620000,132834149.65947184
1612623600,132356969.51465982
1612627200,131434719.94968009
1612630800,127498390.92765577
1612634400,127900685.99780898
1612638000,126871194.50866672
1612641600,125798690.97758166
1612645200,127213256.14792138
1612648800,124162805.92619732
1612652400,113686948.39337428
1612656000,109170734.55695367
1612659600,103466729.62245353
1612663200,92896602.3060357
1612666800,88783581.96194418
1612670400,88330147.2251915
1612674000,86931852.63061972
1612677600,83559865.63794771
1612681200,82775248.17591529
1612684800,82022052.76212084
1612688400,80449231.76975742
1612692000,80663603.16754767
1612695600,80877356.95746371
1612699200,79128298.1413016
1612702800,77920136.14093685
1612706400,75437782.52577217
1612710000,74840523.99363297
1612713600,74100731.07576379
1612717200,77266732.98346965
1612720800,77177387.6089748
1612724400,77254883.8222218
1612728000,76158047.45597208
1612731600,77093066.07919273
1612735200,76913107.71126278
1612738800,76952238.0901733
1612742400,78377213.4015153
1612746000,79764904.29737863
1612749600,77476098.48139246
1612753200,70777244.7560433
1612756800,69356026.2340654
1612760400,69722225.2939355
1612764000,69145665.38104843
1612767600,71398403.38589124
1612771200,71480171.58066191
1612774800,73017222.51483941
1612778400,73425902.68333532
1612782000,72454335.42450306
1612785600,73943861.80683134
1612789200,74737639.8020839
1612792800,75317745.42102548
1612796400,76031703.41636306
1612800000,74571244.16358297
1612803600,70384208.5883346
1612807200,70398270.95292297
1612810800,71470317.72948055
1612814400,71849283.73623115
1612818000,72737623.06824073
1612821600,74257408.23002942
1612825200,90362665.24530295
1612828800,94925029.32354169
1612832400,95068058.57884069
1612836000,99680674.21173063
1612839600,99773328.68415919
1612843200,100037967.8443848
1612846800,99063778.71403697
1612850400,98994134.92198397
1612854000,99130392.92740561
1612857600,99751269.16412516
1612861200,98895608.14258881
1612864800,98370795.71693732
1612868400,97923679.0736761
1612872000,96403554.6207902
1612875600,93868468.68285426
1612879200,91875886.22652406
1612882800,92537279.95587404
1612886400,91767550.11650918
1612890000,89930146.37038195
1612893600,91379880.60521588
1612897200,100960402.40938814
1612900800,111545554.31582221
1612904400,112291485.51829647
