date,volume
1612134000,38266283.24362935
1612137600,37828984.82343036
1612141200,37472207.56018145
1612144800,38694745.69252494
1612148400,38335157.74363573
1612152000,38686277.18811453
1612155600,38562398.37671491
1612159200,40350225.97558408
1612162800,43472841.32631014
1612166400,43025698.40000552
1612170000,43628503.722283505
1612173600,43818246.93388984
1612177200,43332231.76335789
1612180800,43103602.83161551
1612184400,45441662.9094283
1612188000,45834651.86710186
1612191600,46255053.61967269
1612195200,45646231.858384974
1612198800,48749291.2115267
1612202400,48076849.78406824
1612206000,44464217.25748933
1612209600,38833467.43429241
1612213200,36660481.19832093
1612216800,35581180.31364092
1612220400,35199320.43894513
1612224000,38072407.3720059
1612227600,38282796.68374185
1612231200,39706749.80452169
1612234800,39747894.031274475
1612238400,39219980.362663165
1612242000,38801783.79388713
1612245600,39678311.6561913
1612249200,38083829.40958549
1612252800,38767235.27198949
1612256400,38882445.31083323
1612260000,39822974.63895061
1612263600,39604968.254130766
1612267200,38703274.865568474
1612270800,37123743.9232187
1612274400,36263741.13365593
1612278000,34503471.18894209
1612281600,33969599.70516004
1612285200,32833810.64270228
1612288800,32387769.697157387
1612292400,32178204.34763856
1612296000,32266589.099089917
1612299600,31560018.11949635
1612303200,31345380.11502428
1612306800,30804697.692832902
1612310400,29746786.486315228
1612314000,29220971.539960425
1612317600,27428729.641961016
1612321200,26919336.78555042
1612324800,27289972.46444517
1612328400,27091697.241594277
1612332000,24843947.6879764
1612335600,24236743.950970896
1612339200,22983657.18712771
1612342800,23026233.551875405
1612346400,20851233.60598162
1612350000,20536205.25063839
1612353600,20700192.92862254
1612357200,20584294.890993778
1612360800,20391557.555148933
1612364400,20705174.125134517
1612368000,21880558.051573683
1612371600,20871212.56536212
1612375200,20442205.2627313
1612378800,20683507.15940201
1612382400,20767208.690445755
1612386000,20851315.171519287
1612389600,21034237.99241582
1612393200,21361752.440585997
1612396800,20867595.82420427
1612400400,20471804.748445157
1612404000,20187988.734441336
1612407600,20200198.331771083
1612411200,19959942.062605936
1612414800,20254474.89778631
1612418400,19813658.009183887
1612422000,20175687.323864695
1612425600,22164292.173333105
1612429200,24845180.40086218
1612432800,25017774.89358626
1612436400,26322045.49261282
1612440000,27105280.892443098
1612443600,28151211.52698555
1612447200,28276717.45264243
1612450800,27758132.651352707
1612454400,27070726.333234135
1612458000,27210074.69523371
1612461600,27619141.944868643
1612465200,27748985.072868504
1612468800,27957671.791577525
1612472400,28135846.146192353
1612476000,28362942.528226297
1612479600,28189703.586714488
1612483200,28624697.360517785
1612486800,29316776.991097864
1612490400,29145397.22297962
1612494000,29702164.10037051
1612497600,30696550.55270993
1612501200,31248404.962798953
1612504800,31078219.38531859
1612508400,32188070.455935095
1612512000,31729944.335560042
1612515600,29506957.072682027
1612519200,29759972.463450234
1612522800,28959711.61456157
1612526400,28289110.460533187
