date,price
1612134000,3.87229517602803e-05
1612137600,3.867000387862184e-05
1612141200,3.828720306248846e-05
1612144800,3.929727578634967e-05
1612148400,3.956827703086032e-05
1612152000,3.942399934934753e-05
1612191600,3.615032968591602e-05
1612195200,3.6944153045191555e-05
1612198800,3.840522933183303e-05
1612202400,4.2865139106505805e-05
1612206000,4.246476207044834e-05
1612209600,4.020852219800208e-05
1612213200,3.8909785999546254e-05
1612216800,4.0669658307142495e-05
1612220400,4.2214867547059554e-05
1612224000,4.158670167983683e-05
1612227600,4.1813359854476384e-05
1612231200,4.335012189064726e-05
1612234800,4.26619758872518e-05
1612238400,4.4161216337454854e-05
1612242000,4.264030327339672e-05
1612245600,4.4072385595572034e-05
1612249200,4.336953274075517e-05
1612252800,4.410110934564583e-05
1612256400,4.32763369727656e-05
1612260000,4.328540609178089e-05
1612263600,4.405889234110333e-05
1612267200,4.415154665165475e-05
1612270800,4.433107324985135e-05
1612274400,4.4644573030253404e-05
1612278000,4.546970289570594e-05
1612281600,4.55736814164614e-05
1612285200,4.851983708439857e-05
1612288800,4.884796155623412e-05
1612292400,6.667528103373218e-05
1612296000,9.999431135052713e-05
1612299600,7.999335139217074e-05
1612303200,6.791405376501628e-05
1612306800,6.810803396666179e-05
1612310400,9.662892606560594e-05
1612314000,4.488666052686585e-05
1612317600,4.065520152484333e-05
1612321200,4.218505612405118e-05
1612324800,4.274019545450369e-05
1612328400,4.2557851141227105e-05
1612332000,4.24020899602194e-05
1612335600,4.3676497697189484e-05
1612339200,3.910086931499405e-05
1612342800,3.9774910739115635e-05
1612346400,4.0144862445286296e-05
1612350000,4.8070305025489986e-05
1612353600,4.181504494731487e-05
1612357200,4.2371585587886495e-05
1612360800,4.5468122316246025e-05
1612364400,4.5913089700863666e-05
1612368000,4.42372137253981e-05
1612371600,4.3055463082345094e-05
1612375200,3.991630583784215e-05
1612378800,4.42149875766718e-05
1612382400,4.3872796170227046e-05
1612386000,4.602489782795606e-05
1612389600,4.554251563864831e-05
1612393200,4.826431710218816e-05
1612396800,4.5150940147958425e-05
1612400400,4.9255705998427554e-05
1612404000,4.9193597298655457e-05
1612407600,5.362202692212236e-05
1612411200,4.938260940466264e-05
1612414800,5.133381427753324e-05
1612418400,5.2436785039412055e-05
1612422000,5.279820814813312e-05
1612425600,7.967965371984168e-05
1612429200,5.2597446612631715e-05
1612432800,5.387763545509076e-05
1612436400,5.37285883420453e-05
1612440000,7.814246084460289e-05
1612443600,7.790781839973456e-05
1612447200,7.204177500281274e-05
1612450800,7.191803456430153e-05
1612454400,7.415020764787151e-05
1612458000,7.206783435159793e-05
1612461600,7.437984939238443e-05
1612465200,7.397541677023042e-05
1612468800,8.009842978708861e-05
1612472400,8.025769089597403e-05
1612476000,7.853294408007028e-05
1612479600,6.822222995236135e-05
1612483200,6.972550353134614e-05
1612486800,7.000475580174935e-05
1612490400,7.991439258567368e-05
1612494000,7.238467846075211e-05
1612497600,7.05343332007968e-05
1612501200,6.703411850832908e-05
1612504800,6.899813048815234e-05
1612508400,7.286220061222604e-05
1612512000,6.947408062942281e-05
1612515600,6.93967639128053e-05
1612519200,7.686581864401879e-05
1612522800,8.021761462205481e-05
1612526400,7.687920996022914e-05
1612530000,7.781358393901262e-05
1612533600,7.696117741284126e-05
1612537200,7.778505930187597e-05
1612540800,7.660546518968422e-05
1612544400,8.024447806195539e-05
1612548000,7.856055954530734e-05
1612551600,7.513355403133868e-05
1612555200,6.595447689263134e-05
1612558800,7.281095861670972e-05
1612562400,7.081043097647397e-05
1612566000,6.104402474747021e-05
1612569600,7.547693931430858e-05
1612573200,7.260035001688505e-05
1612576800,7.671244505540657e-05
1612580400,7.765268125802606e-05
1612584000,7.798480334703873e-05
1612587600,7.677102115661215e-05
1612591200,7.44846351925789e-05
1612594800,7.686237894408981e-05
1612598400,7.22906382717248e-05
1612602000,7.673359425522257e-05
1612605600,7.68037030229921e-05
