date,price
1612136359089,1.3128642759633001e-06
1612140333826,2.577154877470262e-06
1612143917407,2.557599563843449e-06
1612147366889,2.6309190937552334e-06
1612151174722,3.940190699247497e-06
1612154659527,2.643481635439898e-06
1612158133333,2.628095815250714e-06
1612161579956,2.642879600207504e-06
1612165191475,3.927480202684843e-06
1612168879845,2.6189270103215235e-06
1612172575579,2.652212549065365e-06
1612175997698,2.6537951311423724e-06
1612180271918,2.6617678659455864e-06
1612183385329,3.97214006820022e-06
1612186758740,2.646794886525661e-06
1612190520728,3.943411370566012e-06
1612194186747,2.624673272914112e-06
1612197722090,2.616873232537996e-06
1612201197814,2.61492816546317e-06
1612204906797,2.6278110877611825e-06
1612208463628,2.647519221770386e-06
1612212459621,2.65568251356083e-06
1612215689384,2.660325667183447e-06
1612219406901,2.7058736903488982e-06
1612222773630,2.7219065714932713e-06
1612226660175,2.8062746016413e-06
1612230135977,2.752253820860659e-06
1612233702142,2.7549404487723812e-06
1612237129413,2.730174513373815e-06
1612240891650,2.7425676352683386e-06
1612244577915,2.7513171594542793e-06
1612248166111,4.164300805547339e-06
1612251622028,4.225354685388448e-06
1612255329517,2.837784183476854e-06
1612258661863,2.8696063456861798e-06
1612262609065,2.8618314006981646e-06
1612266144575,4.263540767135324e-06
1612269852470,2.8508202301530277e-06
1612273294504,2.8472294844001234e-06
1612276924072,2.842660212592663e-06
1612280674018,4.270008357523934e-06
1612284236343,2.8558849741718888e-06
1612287590186,2.960246658299762e-06
1612294942205,2.9850338213677487e-06
1612298560292,3.0678445347943484e-06
1612302123423,3.043104754659166e-06
1612305716939,3.054224151030245e-06
1612309183142,3.0758656571000777e-06
1612313094417,3.0564493347327264e-06
1612316605573,3.025388771697444e-06
1612320158850,3.049752222331085e-06
1612323716353,3.0656678596018467e-06
1612327581126,4.6838540941959415e-06
1612330795725,3.1022445912374595e-06
1612334394079,3.0946693171188385e-06
1612338093474,3.1171948735482234e-06
1612341617064,4.573250529797768e-06
1612345201723,3.065167839005239e-06
1612349241003,3.0769991445669736e-06
1612352627235,4.672093453044123e-06
1612356313497,3.095129688859015e-06
1612359932851,3.1105238687201697e-06
1612363440200,3.091536217630035e-06
1612370893467,3.2114442883309743e-06
1612374195474,3.253876718134057e-06
1612377831239,3.253242653446411e-06
1612381463989,3.285051232496953e-06
1612385205497,3.2717517682586946e-06
1612388656731,3.2771285858236965e-06
1612392272344,3.2647177459909825e-06
1612395815237,3.305854992593705e-06
1612399657549,3.3509952946801546e-06
1612403155860,3.3685394027056356e-06
1612406759939,3.3508672714328283e-06
1612410682373,3.341377257514831e-06
1612414077914,3.316747042299101e-06
1612417532062,3.3304880154643193e-06
1612421134639,3.3092242500120098e-06
1612424692162,3.351405318184291e-06
1612428401954,1.6786084705325643e-06
1612432318145,3.245365792475138e-06
1612436010005,3.285904740660751e-06
1612438931987,3.2673792759017692e-06
1612442522929,3.2576794312384675e-06
1612446179545,3.2792619400566467e-06
1612449709005,3.2626967179708556e-06
1612453686851,3.193189215149224e-06
1612456930760,3.1686013049996133e-06
1612460507616,3.2134880955954857e-06
1612464189087,3.273809414782908e-06
1612471574966,3.306908772810527e-06
1612489583886,3.2364883393143763e-06
1612496660425,3.22043588460835e-06
1612500407168,3.2726962729707756e-06
1612507459008,3.2682832229851497e-06
1612511053764,3.3182539285871237e-06
1612514649438,3.3043363493927276e-06
1612517991944,3.3349842735191895e-06
1612521831329,3.322050721975721e-06
1612525445971,3.307105418017845e-06
1612536112694,3.441463703199851e-06
1612539861753,3.4689665472560945e-06
1612543442029,3.4902548123846566e-06
1612550678185,3.411064201818056e-06
1612572260507,3.4786049658703223e-06
1612575870005,3.4361473440408785e-06
1612583042866,3.355493697829394e-06
1612593774847,1.659181443756301e-06
1612600987698,3.3635101962954216e-06
1612604533095,3.413839904406261e-06
1612608222405,3.3851408584173833e-06
1612611918120,3.379316491345956e-06
1612622679202,3.397283463664029e-06
1612626417602,3.3728376736784576e-06
1612637024858,3.3911988590774006e-06
1612655025605,3.3710842308775854e-06
1612658681763,3.3629329908804196e-06
1612662287414,3.3464440915314677e-06
1612665987954,1.6645304841387437e-06
1612669609973,3.2379466818094685e-06
1612673105896,1.6165327845879618e-06
1612676857764,3.2230209710643447e-06
1612680231870,3.2185074804712326e-06
1612687442653,4.916495032632934e-06
1612691039795,3.2603036977692593e-06
1612694502559,4.958403705086181e-06
1612698249753,3.2900740338876712e-06
1612701848359,3.205585680533405e-06
1612705477336,3.248726020673712e-06
1612709063065,4.730610840239955e-06
1612712846478,3.0785419562367004e-06
1612719881681,3.1204020297644217e-06
1612723483909,3.111623655292158e-06
1612727112489,3.152910740251952e-06
1612734230185,3.1588593842078013e-06
1612737985668,3.181751802945376e-06
1612741556520,3.215031983376302e-06
1612745271047,3.204409108686185e-06
1612748854436,3.206113975620192e-06
1612752330949,3.1699395118399964e-06
1612755809388,3.1641039226630285e-06
1612763055958,3.220522617883455e-06
1612767022229,3.253547439744386e-06
1612773751187,3.2819372197071966e-06
1612777332673,3.264465846613246e-06
1612780983681,4.8983327170951525e-06
1612784568766,3.3156924125812665e-06
1612788270702,3.299314369086604e-06
1612791712056,3.3797764606408274e-06
1612795275253,3.419765485118652e-06
1612799101630,3.4691799426599886e-06
1612802705773,3.5197089866928375e-06
1612806182902,3.423427250514808e-06
1612809910741,3.4135248565288306e-06
1612813409719,3.4044561575289347e-06
1612817133779,3.4245070668209083e-06
1612820575349,3.4294093961939357e-06
1612824121524,3.4164326962833487e-06
1612827669811,3.434414151328659e-06
1612831639299,3.4880560555567006e-06
1612835351339,5.1910546000963566e-06
1612838549300,5.174968913879039e-06
1612842135652,5.156336319826944e-06
1612846199150,3.4714051828090074e-06
1612849351366,3.4828050109759345e-06
1612852921545,3.5070354655643144e-06
1612856304135,3.507575024694817e-06
1612860091086,3.599898748418345e-06
1612863593087,5.449681319507311e-06
1612867452089,3.5368205288329587e-06
1612871116637,3.48801633597406e-06
1612874568433,3.5038783273796045e-06
1612878104591,3.4940238586611065e-06
1612881662689,3.47333783847891e-06
1612885314865,3.495347385215605e-06
1612888817499,3.4526092143171625e-06
1612892533405,3.481898381970368e-06
1612896212047,3.4972286390854194e-06
1612899873214,3.496396504907071e-06
1612903700655,3.560653595929535e-06
1612907205224,3.528001128198486e-06
1612910559725,3.5156990981577785e-06
1612914125880,3.527887127042381e-06
1612917979830,3.54779793624073e-06
1612921417301,3.5718743120572413e-06
1612924915602,3.627425807904603e-06
1612928587256,3.637579227471676e-06
1612932022643,3.5651885495208415e-06
1612935684479,3.5822179353875486e-06
1612939398646,5.445674227523756e-06
1612942906206,5.4151921156753704e-06
1612946527459,5.428205900523866e-06
1612950180618,3.6243508427235586e-06
1612953873504,3.603822810184841e-06
1612957461656,5.363743657141231e-06
1612961068265,3.5599163537151647e-06
1612964618246,5.222648317228876e-06
1612968094077,3.436338650629057e-06
1612972426993,3.4059029742230376e-06
1612975739861,3.4536351218458447e-06
1612978791818,3.439272796240257e-06
1612982537595,3.4605598670919075e-06
1612986153317,3.4783585952095833e-06
1612989814570,3.475412030776957e-06
1612993360881,3.4347382334371114e-06
1612996812552,3.4400528577776926e-06
1613000543254,3.4868346479001883e-06
1613004637262,3.471329318208538e-06
1613007719330,3.4247639586456205e-06
1613011456886,3.4439579422723576e-06
1613014987100,3.447191805974968e-06
1613018521008,3.454404529334561e-06
1613022106047,3.453796507693088e-06
1613025743344,3.4577199874383956e-06
1613029956571,3.4809327998027417e-06
1613032883601,3.468657668021037e-06
1613036682192,3.506408247886459e-06
1613040209581,3.51450702784125e-06
1613043718553,3.5624680710750426e-06
1613047505970,3.5734458481615726e-06
1613050955566,3.586044914433828e-06
1613054379863,3.581218437669577e-06
1613057923102,3.5785969245231676e-06
1613061528025,3.5752406094940577e-06
1613065186648,3.55858665688856e-06
1613068793194,3.5621086937812573e-06
1613072425398,3.5835817473121607e-06
1613076299764,5.353443891918421e-06
1613079721412,3.529192585302027e-06
1613083177576,3.55285086693922e-06
1613086709432,5.345033665262779e-06
1613090426569,3.582693068693256e-06
1613094114500,5.358850663320391e-06
1613104762712,3.5075582035669126e-06
1613108352516,3.4945150231566453e-06
1613111958006,3.502885855149963e-06
1613115588617,5.30721027454495e-06
1613119207091,3.539830616812387e-06
1613122815100,3.50789274433063e-06
1613126546690,3.535173244044456e-06
1613130075313,3.545909443673748e-06
1613133707144,3.539489751559472e-06
1613137275331,3.5506996602428276e-06
1613140754999,5.360801113422387e-06
1613144441740,3.540601477924561e-06
1613148123306,3.6183120502708642e-06
1613151564493,3.6352248799944663e-06
1613155433827,3.67765999509554e-06
1613158889913,3.667326032423694e-06
1613162582945,3.7039029363601926e-06
1613166079431,3.6898272337429815e-06
1613169690727,3.686851749283629e-06
