date,volume
1612134000,167671774.59191146
1612137600,176721107.5651108
1612141200,171661633.0375823
1612144800,170216882.34917048
1612148400,189583006.89063868
1612152000,209425187.28317434
1612155600,210784743.91971076
1612159200,212108902.02291018
1612162800,211584276.0016078
1612166400,213785610.18064502
1612170000,213929943.78417885
1612173600,216951756.43287575
1612177200,219785257.15004057
1612180800,228971821.79950565
1612184400,230082130.3593025
1612188000,228200531.6136
1612191600,228856083.3250133
1612195200,232670207.48240298
1612198800,223060695.09698197
1612202400,219430925.5327644
1612206000,214412468.1955082
1612209600,218202982.86724964
1612213200,215156545.73825604
1612216800,216376442.89142606
1612220400,222564818.2915895
1612224000,219950614.82477015
1612227600,207341752.99178317
1612231200,206018953.38995844
1612234800,199002278.5808417
1612238400,186675190.79512578
1612242000,178563548.29153764
1612245600,174525222.21241155
1612249200,169342284.19544205
1612252800,165559743.50391793
1612256400,158458592.9045263
1612260000,155217348.13531834
1612263600,151564118.8034558
1612267200,145432085.85531014
1612270800,146519726.47606674
1612274400,145739489.29500657
1612278000,146095377.75390494
1612281600,131410243.70577061
1612285200,128524253.50374827
1612288800,128562661.64718221
1612292400,127143715.99829434
1612296000,113338544.90961286
1612299600,123099011.58508076
1612303200,113223794.93328491
1612306800,123085285.82669356
1612310400,122654013.8593757
1612314000,101551272.99974357
1612317600,106449689.96593753
1612321200,110105164.12656492
1612324800,112135529.82129315
1612328400,103538234.9864512
1612332000,112912105.76427563
1612335600,100594196.68533961
1612339200,106069971.34639162
1612342800,108609772.6223076
1612346400,103535103.70456469
1612350000,99053593.42158186
1612353600,104473318.0974603
1612357200,100377110.3316558
1612360800,104495715.43316169
1612364400,101668738.8472657
1612368000,107084171.26295231
1612371600,106485306.50856084
1612375200,112594771.10360861
1612378800,112987686.87735273
1612382400,108617656.6940022
1612386000,109524395.07335134
1612389600,111268152.3855976
1612393200,117747610.36811854
1612396800,123400239.18244998
1612400400,145088760.65057635
1612404000,165342049.91649193
1612407600,172969513.48902115
1612411200,175955236.30303878
1612414800,186492948.20338196
1612418400,189433293.6665303
1612422000,190280179.32009482
1612425600,194111637.6871771
1612429200,202220130.77323908
1612432800,214200664.16820598
1612436400,228334493.03630307
1612440000,238641577.12799144
1612443600,254616582.7143506
1612447200,263061311.14201915
1612450800,276024494.30372363
1612454400,288444402.09199244
1612458000,319696887.65250933
1612461600,339346082.0376008
1612465200,366756631.1529304
1612468800,394069330.4828986
1612472400,411332717.51708233
1612476000,419308991.82567084
1612479600,425026252.85118645
1612483200,410057996.06304616
1612486800,404593973.3909914
1612490400,388225395.0332903
1612494000,363867668.6686718
1612497600,387765424.4084427
1612501200,378630556.02379566
1612504800,373551569.22582036
1612508400,379103094.1346982
1612512000,384027437.9354688
1612515600,391782412.010679
1612519200,391761401.25870925
1612522800,358013390.2614999
1612526400,380881035.52871424
1612530000,373027732.2363808
1612533600,396260522.97416925
1612537200,400527169.0722468
1612540800,410395266.2933497
1612544400,399058877.71803564
1612548000,387796364.27064437
1612551600,369948374.5632405
1612555200,354074684.3912084
1612558800,342585736.4760251
1612562400,328126274.3176083
1612566000,325802923.76898617
1612569600,327418243.19552296
1612573200,321050455.22468054
1612576800,314832103.35488856
1612580400,343660894.5409429
1612584000,348645640.66197723
1612587600,347470268.4592271
1612591200,346460222.00586617
1612594800,348796940.423772
1612598400,365018791.17697656
1612602000,375661480.496085
1612605600,364203927.69833565
1612609200,359355870.3128071
1612612800,363005704.7863196
1612616400,360329444.39413506
1612620000,331435736.4200415
1612623600,344219218.19319046
1612627200,329369396.4996839
1612630800,335381560.5204239
1612634400,315407835.23606664
1612638000,308524034.82504106
1612641600,307502058.60128826
1612645200,298335049.81024253
1612648800,298138252.7533434
1612652400,289584278.8521101
1612656000,283150307.3019258
1612659600,275395247.9512965
1612663200,244437372.00077796
1612666800,226946719.44238502
1612670400,212752425.64153558
