date,volume
1612134000,442269261.896492
1612137600,438395053.5185269
1612141200,442992302.0240957
1612144800,445689215.3354653
1612148400,435629853.9459984
1612152000,389598995.1883839
1612155600,369639067.08005255
1612159200,366053582.81464
1612162800,362560023.39777577
1612166400,357051143.500165
1612170000,362572735.9548706
1612173600,355373428.1156836
1612177200,352736163.56626546
1612180800,350133936.07314426
1612184400,348044336.42590326
1612188000,348604426.3005372
1612191600,338035109.5211528
1612195200,327608831.6222446
1612198800,327966198.9496027
1612202400,322626860.0769154
1612206000,323865081.31764513
1612209600,324037871.6002105
1612213200,319028108.21780854
1612216800,315887225.09721047
1612220400,320933163.17820275
1612224000,327602079.666969
1612227600,326841006.97945815
1612231200,321881154.48998874
1612234800,322912225.57099783
1612238400,335350933.04750115
1612242000,333280491.792903
1612245600,335120171.12466675
1612249200,334161653.7983568
1612252800,333011406.49007577
1612256400,349236977.406367
1612260000,348926159.8028593
1612263600,343356581.5092043
1612267200,337050521.5114772
1612270800,337020590.6129494
1612274400,334595514.4451574
1612278000,327572901.86812943
1612281600,323728881.9637774
1612285200,332172451.710539
1612288800,331776615.15681034
1612292400,343149290.89314365
1612296000,384055100.7351136
1612299600,399489485.5158277
1612303200,408762893.74543786
1612306800,410518462.47385526
1612310400,404675087.0109057
1612314000,439841958.3662215
1612317600,444055833.65497935
1612321200,454686462.7677673
1612324800,466369673.8757915
1612328400,495686789.65333825
1612332000,500748780.71590614
1612335600,507915664.93075836
1612339200,504318184.42479324
1612342800,504734954.4291085
1612346400,495103122.29313123
1612350000,502859480.2812123
1612353600,532031947.05006194
1612357200,562186776.6526034
1612360800,572249888.2611527
1612364400,576811966.5155398
1612368000,603181763.387418
1612371600,603266981.4671732
1612375200,607549003.0661144
1612378800,600928033.4813286
1612382400,561795416.2599045
1612386000,550363806.787066
1612389600,539924353.4864738
1612393200,535652752.02445906
1612396800,543879417.7425892
1612400400,523567267.7655073
1612404000,530709050.433764
1612407600,523400160.6357776
1612411200,514167290.8496683
1612414800,481535903.6362331
1612418400,474286686.3633569
1612422000,415064737.938306
1612425600,422563815.097036
1612429200,417335509.00105166
1612432800,431695427.58397126
1612436400,428031931.6117638
1612440000,407529715.1651207
1612443600,398540202.37144566
1612447200,386373223.3486821
1612450800,385545071.9171357
1612454400,378619888.45531225
1612458000,370539955.0687594
1612461600,375304748.8420068
1612465200,379537291.4825852
1612468800,385975046.3140829
1612472400,402225050.2230576
1612476000,469534868.16176444
1612479600,627202499.5097934
1612483200,651183197.3419805
1612486800,677166242.8711369
1612490400,688513709.314273
1612494000,687869739.0368268
1612497600,708603847.3439529
1612501200,709937696.2757952
1612504800,727045561.5041288
1612508400,751402768.1178526
1612512000,754664399.646084
1612515600,761545437.7445471
1612519200,735306674.9714001
1612522800,744577331.0497475
1612526400,752739914.8022803
1612530000,762489520.4234079
1612533600,777319191.8107337
1612537200,787231789.5579714
1612540800,799523932.1059017
1612544400,805679381.3371042
1612548000,861034522.4427829
1612551600,856940383.8936898
1612555200,871717818.3142753
1612558800,863290587.2899625
1612562400,767202351.0054833
1612566000,634299188.9004012
1612569600,599325619.4139806
1612573200,578786416.1212009
1612576800,581959534.1071969
1612580400,579979825.2080204
1612584000,576469485.8458922
1612587600,571143361.8716314
1612591200,567183685.224154
1612594800,563645621.5274012
1612598400,560270047.0034853
1612602000,561875458.2067596
1612605600,551312925.4794416
1612609200,543567054.7509717
1612612800,547569463.7069443
1612616400,544642091.3181571
1612620000,540793251.0039494
1612623600,523201991.86041045
1612627200,511281025.87498516
1612630800,504480075.45279104
1612634400,478208183.6284996
1612638000,478463690.96876395
1612641600,467288434.9680035
1612645200,457317417.32864386
1612648800,453649296.3649747
1612652400,441312641.2359148
1612656000,437894590.5259157
1612659600,426608845.3776436
1612663200,388221588.50680274
1612666800,383229409.55954516
1612670400,370955604.771895
1612674000,372350068.3622739
1612677600,376177403.0205995
1612681200,375448543.64342415
1612684800,372539928.6107461
1612688400,366691814.38601655
1612692000,362354295.3020375
1612695600,362672568.0341949
1612699200,354596729.0750299
1612702800,352524824.047387
1612706400,351068541.85267353
1612710000,350873983.69729125
1612713600,351466835.3144307
1612717200,367918184.581831
1612720800,351222314.80508316
1612724400,350005959.7434185
1612728000,346739289.5073256
1612731600,349799929.04740787
1612735200,353189608.3641746
1612738800,353247572.3186516
1612742400,351983095.5678906
1612746000,346854320.34916174
1612749600,339946731.7741218
1612753200,334126138.04906917
1612756800,335227810.138035
1612760400,324348011.7767926
1612764000,320336779.8448832
1612767600,321043010.3145705
1612771200,325440094.05024916
1612774800,331292354.8698642
1612778400,333978946.7859723
1612782000,343542039.48441243
1612785600,341748165.0073797
1612789200,363650825.8406558
1612792800,370101030.1341003
1612796400,382867633.0519045
1612800000,386365560.888445
1612803600,380027560.3798266
1612807200,383736419.0244854
1612810800,381812591.4477761
1612814400,403375092.3269888
1612818000,459526236.66692245
1612821600,479796056.67175007
1612825200,485115207.8064756
1612828800,506778712.7131459
1612832400,513410800.0375446
1612836000,523791621.82067627
1612839600,521533437.8031452
1612843200,528436451.48950976
1612846800,539300978.2472966
1612850400,547313156.3498638
1612854000,556117918.3383895
1612857600,568050769.5086231
1612861200,584162899.0710123
1612864800,587180739.1115063
1612868400,588059596.037856
1612872000,596046869.3597528
1612875600,580857400.7105981
1612879200,574551274.0140288
1612882800,556715278.6128782
1612886400,554391873.0947982
1612890000,551274653.0771238
1612893600,559283712.6829026
1612897200,618346491.7875806
1612900800,639486238.9814013
1612904400,618474264.40606
1612908000,606917596.055351
