date,volume
1612134000,460063487.3334513
1612137600,433060088.9018077
1612141200,421564694.1677935
1612144800,409856968.53610724
1612148400,383192819.0644591
1612152000,372825346.05068564
1612155600,349247769.936719
1612159200,344770503.06570154
1612162800,340574389.820198
1612166400,337078528.80967104
1612170000,334265755.2569605
1612173600,340723816.94257253
1612177200,338408315.5749648
1612180800,358691024.790584
1612184400,363336906.6041232
1612188000,359676599.66116524
1612191600,338857651.7761781
1612195200,314732786.84892666
1612198800,312696832.83005875
1612202400,327458902.40574163
1612206000,327216167.90367043
1612209600,325634166.255536
1612213200,346282297.3789414
1612216800,343169120.7990925
1612220400,342423676.72731245
1612224000,318664279.80852604
1612227600,323202297.7881573
1612231200,341245489.8794479
1612234800,354785343.2377619
1612238400,364632760.90540224
1612242000,370741967.8432217
1612245600,362706574.7092365
1612249200,360440862.60531384
1612252800,353782839.49334806
1612256400,362658953.58073694
1612260000,349632368.6656972
1612263600,338558746.0405052
1612267200,327764965.93838227
1612270800,325003338.50461113
1612274400,321968688.9032263
1612278000,310424104.10045624
1612281600,307028338.9005862
1612285200,305757528.26091975
1612288800,299411541.84251606
1612292400,291455047.83770585
1612296000,289190917.97609276
1612299600,287176935.99074095
1612303200,269698424.04338104
1612306800,265257526.6994079
1612310400,266177393.05118406
1612314000,261463969.0317712
1612317600,247328396.54601008
1612321200,241831836.8980691
1612324800,231278982.1718215
1612328400,226009806.7802623
1612332000,229711970.56802854
1612335600,223955460.8630846
1612339200,232470248.16278464
1612342800,228597346.02135268
1612346400,227988465.35942793
1612350000,232010545.7810634
1612353600,232328966.6187392
1612357200,233078405.27368635
1612360800,233255141.7646473
1612364400,253879073.3471102
1612368000,258469150.1345343
1612371600,253918262.3421865
1612375200,250581044.35667244
1612378800,248045442.8430159
1612382400,246958578.76075077
1612386000,249793985.84701553
1612389600,251591846.5054263
1612393200,251839995.58189076
1612396800,255359122.0600614
1612400400,293611028.2538125
1612404000,298052389.0624211
1612407600,320040723.0956724
1612411200,355129444.48387516
1612414800,360820654.80995107
1612418400,360007772.93797326
1612422000,350549510.13722396
1612425600,339717779.768024
1612429200,345110183.7845808
1612432800,366516981.5289693
1612436400,365611080.2858865
1612440000,368372520.7011196
1612443600,375288132.80070955
1612447200,399771446.76128304
1612450800,395739244.2531555
1612454400,402679611.7216737
1612458000,418859105.24209124
1612461600,439919675.71808875
1612465200,483792311.5779405
1612468800,496156474.08776677
1612472400,516974978.0544712
1612476000,512949420.9887102
1612479600,526442929.05410963
1612483200,527354650.58459616
1612486800,530296204.280968
1612490400,530352048.84908944
1612494000,526603895.82109755
1612497600,516305501.13886577
1612501200,505950609.15564257
1612504800,500793080.8199312
1612508400,497107901.84049743
1612512000,519008199.3644077
1612515600,512328304.5801372
1612519200,497995206.9953205
1612522800,491424623.0012583
1612526400,487459576.9209007
1612530000,483169125.72757256
1612533600,475744618.6447612
1612537200,462649000.7280884
1612540800,445284596.1367984
1612544400,461636052.11717606
1612548000,463587612.10803217
1612551600,424507869.93681794
1612555200,424100396.0849337
1612558800,414770196.09595174
1612562400,406968322.28634757
1612566000,394835529.46872365
1612569600,400534421.7620423
1612573200,450301126.64736795
1612576800,460978971.678481
1612580400,535411118.3397132
1612584000,537733511.2704562
1612587600,541138107.4782592
1612591200,543091010.7980423
1612594800,544516020.9908934
1612598400,541927466.1843932
1612602000,544373800.1497184
1612605600,538821547.82821
1612609200,529175721.57837784
1612612800,524512485.7257181
1612616400,534175808.6176032
1612620000,526388705.70507
1612623600,523479583.3602942
1612627200,530027511.8031779
1612630800,520508026.5245829
